,,,,,,,,,,,
#EJECUCIÓN GASTOS- EJERCICIO 2013,,,,,,,,,,,
,,,,,,,,,,,
#Org.,Prog.,Econ.,Denominación,,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
,160,22400,Servicios Generales Primas de seguros,Servicios Generales Primas de seguros,,160,2,500,0,500,276.09
,,,,,,,,,,,
,160,22401,Servicios Generales Primes de seguros de vehículos,Servicios Generales Primes de seguros de vehículos,,160,2,8000,0,8000,6885.37
,,,,,,,,,,,
,160,22602,Servicios Generales Publicidad y propaganda,Servicios Generales Publicidad y propaganda,,160,2,4000,0,4000,0
,,,,,,,,,,,
,160,22605,Servicios Generales Indemnizaciones a particulares,Servicios Generales Indemnizaciones a particulares,,160,2,1500,0,1500,2089.93
,,,,,,,,,,,
,160,22699,Servicios Generales Otros gastos diversos,Servicios Generales Otros gastos diversos,,160,2,7000,0,7000,2292.19
,,,,,,,,,,,
,160,22706,Servicios Generales.Estudios y trabajos técnicos,Servicios Generales.Estudios y trabajos técnicos,,160,2,17700,0,17700,17700
,,,,,,,,,,,
,160,22715,Servicios Generales.Limpieza en edificios,Servicios Generales.Limpieza en edificios,,160,2,4600,0,4600,4566.16
,,,,,,,,,,,
,160,22717,Servicios Generales Mantenimiento instlacciones eléctricas,Servicios Generales Mantenimiento instlacciones eléctricas,,160,2,152300,314.7,152614.7,151294.78
,,,,,,,,,,,
,160,22718,Servicios Generales Enterramientos,Servicios Generales Enterramientos,,160,2,4000,0,4000,3192.52
,,,,,,,,,,,
,160,22719,Servicios Generales Mantenimiento y conservación de fuentes,Servicios Generales Mantenimiento y conservación de fuentes,,160,2,165808.73,0,165808.73,167421.32
,,,,,,,,,,,
,160,22721,Servicios Generales Mantenimiento y reparación de edificios,Servicios Generales Mantenimiento y reparación de edificios,,160,2,170700,0,170700,58044.7
,,,,,,,,,,,
