,,,,,,,,,,,
#EJECUCIÓN GASTOS - EJERCICIO 2015,,,,,,,,,,,
,,,,,,,,,,,
#Org.,Prog.,Econ.,Denominación,,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
,151,68100,Urbanismo: Adecuación y limpieza de parcelas,Urbanismo: Adecuación y limpieza de parcelas,,151,68100,60000,39848.15,99848.15,62273.82
,,,,,,,,,,,
,160,22723,Alcantarillado.Limpieza alcantarillado,Alcantarillado.Limpieza alcantarillado,,160,2,4000,0,4000,3645.52
,,,,,,,,,,,
,1621,22727,Recogida de residuos.Recogida de residuos,Recogida de residuos.Recogida de residuos,,1621,2,1397672.58,0,1397672.58,1303134.72
,,,,,,,,,,,
,1622,22736,Gestión de residuos sólidos urbanos.Mantenimiento punto limpio,Gestión de residuos sólidos urbanos.Mantenimiento punto limpio,,1622,2,83420.87,-1213.75,82207.12,81998.4
,,,,,,,,,,,
,1623,22502,Tratamiento de residuos.Tributos de las Entidades locales,Tratamiento de residuos.Tributos de las Entidades locales,,1623,2,114000,1213.75,115213.75,115213.75
,,,,,,,,,,,
,163,22726,Limpieza viaria. Limpieza Viaria,Limpieza viaria. Limpieza Viaria,,163,2,1608624.1,0,1608624.1,1505308.92
,,,,,,,,,,,
,164,22718,Cementerio y servicios funerarios.Enterramientos,Cementerio y servicios funerarios.Enterramientos,,164,2,5000,0,5000,2418.66
,,,,,,,,,,,
,165,22112,"Alumbrado público.Suministros de material electrónico, eléctrico y de telecomunicaciones","Alumbrado público.Suministros de material electrónico, eléctrico y de telecomunicaciones",,165,2,10000,0,10000,50320.19
,,,,,,,,,,,
,165,22717,Alumbrado público.Mantenimiento instalacciones eléctricas,Alumbrado público.Mantenimiento instalacciones eléctricas,,165,2,155175.1,9017.63,164192.73,123277.63
,,,,,,,,,,,
,171,21100,Parques y jardines. Mantenimiento de jardines por Ayto.,Parques y jardines. Mantenimiento de jardines por Ayto.,,171,2,2310623.1,0,2310623.1,2276485.83
,,,,,,,,,,,
,171,21101,Parques y jardines. Mantennimiento jardines (encomienda Emuvisa),Parques y jardines. Mantennimiento jardines (encomienda Emuvisa),,171,2,481235.15,-9017.63,472217.52,408384.11
,,,,,,,,,,,
,171,21608,Parques y jardines. Gestión de Incidencias en el Equipamiento Urbano,Parques y jardines. Gestión de Incidencias en el Equipamiento Urbano,,171,2,3500,0,3500,0
,,,,,,,,,,,
,221,16000,Otras prestaciones económicas a favor de empleados. Seguridad Social,Otras prestaciones económicas a favor de empleados. Seguridad Social,,221,1,2114241.47,56171.2,2170412.67,2037015.76
,,,,,,,,,,,
,221,16108,Otras prestaciones económicas a favor de empleados..Indemnizaciones al personal por años de servicio en El Ayuntamiento,Otras prestaciones económicas a favor de empleados..Indemnizaciones al personal por años de servicio en El Ayuntamiento,,221,1,0,0,0,7800
,,,,,,,,,,,
,221,16200,Otras prestaciones económicas a favor de empleados. Formación y perfeccionamiento del personal,Otras prestaciones económicas a favor de empleados. Formación y perfeccionamiento del personal,,221,1,76699.1,0,76699.1,13182.72
,,,,,,,,,,,
,221,16203,Otras prestaciones económicas a favor de empleados. Ayuda de estudios,Otras prestaciones económicas a favor de empleados. Ayuda de estudios,,221,1,63915.92,0,63915.92,8255.2
,,,,,,,,,,,
,221,16204,Otras prestaciones económicas a favor de empleados. Acción social,Otras prestaciones económicas a favor de empleados. Acción social,,221,1,255663.67,0,255663.67,19374.36
,,,,,,,,,,,
,221,16206,Otras prestaciones económicas a favor de empleados. Prevención de riesgos laborales,Otras prestaciones económicas a favor de empleados. Prevención de riesgos laborales,,221,1,51350,0,51350,39389.19
,,,,,,,,,,,
,221,16207,Otras prestaciones económicas a favor de empleados. Reconocimientos y analíticas,Otras prestaciones económicas a favor de empleados. Reconocimientos y analíticas,,221,1,6500,0,6500,8561.1
,,,,,,,,,,,
,231,13100,Asistencia social primaria. Salario Base,Asistencia social primaria. Salario Base,,231,1,69229.58,0,69229.58,58025.17
,,,,,,,,,,,
,231,13102,Asistencia social primaria. Otras Remuneraciones,Asistencia social primaria. Otras Remuneraciones,,231,1,113273.44,0,113273.44,101701.13
,,,,,,,,,,,
,231,13106,Asistencia social primaria. Trienios,Asistencia social primaria. Trienios,,231,1,8866.52,0,8866.52,8084.44
,,,,,,,,,,,
,231,22636,Asistencia social primaria. Otros servicios de Bienestar Social,Asistencia social primaria. Otros servicios de Bienestar Social,,231,2,2200,0,2200,0
,,,,,,,,,,,
,231,22715,Asistencia social primaria. Limpieza en edificios,Asistencia social primaria. Limpieza en edificios,,231,2,3822.66,0,3822.66,1358.47
,,,,,,,,,,,
,231,22757,Asistencia social primaria. Programa de Atención Domiciliaria,Asistencia social primaria. Programa de Atención Domiciliaria,,231,2,36677.46,13783.22,50460.68,31229.6
,,,,,,,,,,,
,231,22758,Asistencia social primaria. Programa de Promoción de la Autonomía,Asistencia social primaria. Programa de Promoción de la Autonomía,,231,2,16074.54,0,16074.54,5626.09
,,,,,,,,,,,
,231,22759,Asistencia social primaria. Programa de Emergencia Social,Asistencia social primaria. Programa de Emergencia Social,,231,2,28945,0,28945,45393
,,,,,,,,,,,
,231,22760,Asistencia social primaria. Programa de Prevención  e Inserción Social,Asistencia social primaria. Programa de Prevención  e Inserción Social,,231,2,16074,0,16074,7267.2
,,,,,,,,,,,
,231,22761,Asistencia social primaria. Programa de Atención al Menor,Asistencia social primaria. Programa de Atención al Menor,,231,2,28130.48,0,28130.48,19867.12
,,,,,,,,,,,
,231,22762,Asistencia social primaria. Programa de Teleasistencia,Asistencia social primaria. Programa de Teleasistencia,,231,2,1464.12,0,1464.12,1051.63
,,,,,,,,,,,
,231,23101,Asistencia social primaria..Locomoción del personal,Asistencia social primaria..Locomoción del personal,,231,2,0,0,0,56.51
,,,,,,,,,,,
,231,48000,Asistencia social primaria. Subvención Fundación AMAS SOCIAL,Asistencia social primaria. Subvención Fundación AMAS SOCIAL,,231,48000,1500,0,1500,1500
,,,,,,,,,,,
,231,48099,Asistencia social primaria. Otras subvenciones,Asistencia social primaria. Otras subvenciones,,231,48099,3700,0,3700,200
,,,,,,,,,,,
,241,11000,Fomento del empleo. Retribuciones básicas,Fomento del empleo. Retribuciones básicas,,241,1,28480.8,0,28480.8,28532.9
,,,,,,,,,,,
,241,12003,Fomento del empleo. Sueldos del Grupo C1,Fomento del empleo. Sueldos del Grupo C1,,241,1,10080.28,0,10080.28,9884.84
,,,,,,,,,,,
,241,12004,Fomento del empleo. Sueldos del Grupo C2,Fomento del empleo. Sueldos del Grupo C2,,241,1,16779,0,16779,16064.47
,,,,,,,,,,,
,241,12006,Fomento del empleo. Trienios,Fomento del empleo. Trienios,,241,1,3518.32,0,3518.32,3830.01
,,,,,,,,,,,
,241,12100,Fomento del empleo. Complemento de destino,Fomento del empleo. Complemento de destino,,241,1,14067.34,0,14067.34,15803.38
,,,,,,,,,,,
,241,12101,Fomento del empleo. Complemento específico,Fomento del empleo. Complemento específico,,241,1,28562.08,0,28562.08,28295.14
,,,,,,,,,,,
,241,13100,Fomento del empleo. Salario Base,Fomento del empleo. Salario Base,,241,1,26851.44,0,26851.44,23351.64
,,,,,,,,,,,
,241,13102,Fomento del empleo. Otras Remuneraciones,Fomento del empleo. Otras Remuneraciones,,241,1,31178.93,0,31178.93,29641.02
,,,,,,,,,,,
,241,13106,Fomento del empleo. Trienios,Fomento del empleo. Trienios,,241,1,3589.82,0,3589.82,4794.89
,,,,,,,,,,,
,241,14303,Fomento del empleo..Profesorado  Escuela- Taller,Fomento del empleo..Profesorado  Escuela- Taller,,241,1,0,0,0,1877.76
,,,,,,,,,,,
,241,14307,Fomento del empleo..Profesorado Cursos de Formacion para el Empleo,Fomento del empleo..Profesorado Cursos de Formacion para el Empleo,,241,1,0,17000,17000,18031.96
,,,,,,,,,,,
,241,14309,Fomento del empleo..Personal  Insercción Laboral,Fomento del empleo..Personal  Insercción Laboral,,241,1,0,1448015.4,1448015.4,1262103.37
,,,,,,,,,,,
,241,15000,Fomento del empleo. Productividad,Fomento del empleo. Productividad,,241,15,2000,0,2000,0
,,,,,,,,,,,
,241,15100,Fomento del empleo. Gratificaciones,Fomento del empleo. Gratificaciones,,241,15,5500,0,5500,4597.66
,,,,,,,,,,,
,241,20601,Fomento del empleo..Alquiler equipos para procesos información fotocopiadoras,Fomento del empleo..Alquiler equipos para procesos información fotocopiadoras,,241,2,0,0,0,341.16
,,,,,,,,,,,
,241,21301,"Fomento del empleo. Mantenimiento, maquinaria, instalacciones y utillaje","Fomento del empleo. Mantenimiento, maquinaria, instalacciones y utillaje",,241,2,3000,0,3000,566.28
,,,,,,,,,,,
,241,21303,Fomento del empleo. Mantenimiento aparatos elevadores,Fomento del empleo. Mantenimiento aparatos elevadores,,241,2,591.31,0,591.31,284.64
,,,,,,,,,,,
,241,22100,Fomento del empleo. Energía eléctrica,Fomento del empleo. Energía eléctrica,,241,2,6000,0,6000,0
,,,,,,,,,,,
,241,22101,Fomento del empleo..Agua,Fomento del empleo..Agua,,241,2,500,0,500,0
,,,,,,,,,,,
,241,22106,Fomento del empleo. Productos farmacéuticos y material sanitario,Fomento del empleo. Productos farmacéuticos y material sanitario,,241,2,300,0,300,0
,,,,,,,,,,,
,241,22126,Fomento del empleo..Suministros Cursos de Formación para el Empleo,Fomento del empleo..Suministros Cursos de Formación para el Empleo,,241,2,6000,25978.5,31978.5,11694.41
,,,,,,,,,,,
,241,22199,Fomento del empleo. Otros suministros,Fomento del empleo. Otros suministros,,241,2,500,0,500,0
,,,,,,,,,,,
,241,22402,Fomento del empleo. Primas de seguros empleo,Fomento del empleo. Primas de seguros empleo,,241,2,3200,0,3200,0
,,,,,,,,,,,
,241,22408,Fomento del empleo..Seguros para Cursos de Formación para el Empleo,Fomento del empleo..Seguros para Cursos de Formación para el Empleo,,241,2,0,400,400,437.27
,,,,,,,,,,,
,241,22601,Fomento del empleo..Atenciones protocolarias y representativas,Fomento del empleo..Atenciones protocolarias y representativas,,241,2,0,0,0,400
,,,,,,,,,,,
,241,22602,Fomento del empleo. Publicidad y propaganda,Fomento del empleo. Publicidad y propaganda,,241,2,1000,1000,2000,2666.29
,,,,,,,,,,,
,241,22607,Fomento del empleo. Oposiciones y pruebas selectivas,Fomento del empleo. Oposiciones y pruebas selectivas,,241,2,1500,0,1500,0
,,,,,,,,,,,
,241,22630,Fomento del empleo. Promoción del Empleo,Fomento del empleo. Promoción del Empleo,,241,2,20000,0,20000,0
,,,,,,,,,,,
,241,22646,Fomento del empleo..Otros gastos Cursos de Formación para el Empleo,Fomento del empleo..Otros gastos Cursos de Formación para el Empleo,,241,2,12000,12400,24400,0
,,,,,,,,,,,
,241,22650,Fomento del empleo. Formacion personal trabajadores temporales de colaboracion social,Fomento del empleo. Formacion personal trabajadores temporales de colaboracion social,,241,2,4000,0,4000,0
,,,,,,,,,,,
,241,22699,Fomento del empleo. Otros gastos diversos,Fomento del empleo. Otros gastos diversos,,241,2,2000,0,2000,600.49
,,,,,,,,,,,
,241,22715,Fomento del empleo. Limpieza en edificios,Fomento del empleo. Limpieza en edificios,,241,2,12119.58,0,12119.58,11038.4
,,,,,,,,,,,
,241,22729,Fomento del empleo..Transporte actividades,Fomento del empleo..Transporte actividades,,241,2,0,0,0,24829.42
,,,,,,,,,,,
,241,22742,Fomento del empleo..Formación,Fomento del empleo..Formación,,241,2,0,356400,356400,287396.4
,,,,,,,,,,,
,241,23101,Fomento del empleo. Locomoción del personal,Fomento del empleo. Locomoción del personal,,241,2,300,0,300,59.88
,,,,,,,,,,,
,241,62300,Fomento del empleo. Destructoras de papel,Fomento del empleo. Destructoras de papel,,241,62300,660,0,660,0
,,,,,,,,,,,
